frequency,amplitude,linewidth,frequency_sd,amplitude_sd,linewidth_sd,convergence,height,AIC,l,n
34.03745582534734,0.38612510743469747,0.013296300998943912,0.010942777370341487,0.11048354242962749,0.010943656091065946,0,3.5692368947018864,5.641621513397695,NA,NA
41.33942529168891,0.4605101946831099,0.008492952252471781,0.00655041085259355,0.12757811809987973,0.007409297446308614,0,7.948221157496506,16.435008241358446,NA,NA
44.222351692064734,0.6513373259890229,0.030045387964170965,0.015358529152099813,0.1116922559947446,0.013806939003386665,0,4.494529598367559,30.308240353268047,0,6
46.65218181831313,0.4873566439037162,0.014484250242524647,0.00926638782340715,0.12128929768318075,0.011467992836874977,0,5.21972820773642,13.83820440954878,NA,NA
47.32155775123775,1.190600667977916,0.06094447615920976,0.01783488921685596,0.12476329534472652,0.018558125845743637,0,7.403686530269062,139.25383165269523,NA,NA
49.1732184347614,0.7429970523010174,0.04483290008948032,0.02033959270336334,0.11345038626816027,0.018523057840615,0,3.919471185742577,34.14584609821759,2,6
49.94239186871214,1.3036045117839812,0.0647062846105771,0.01740637363053911,0.1287347605445907,0.018112730254950152,0,8.359790104806516,170.8730917245557,0,7
53.23681915186617,2.009582460988829,0.09755634398580644,0.018699047229533906,0.14741516436995775,0.02039363253772775,0,13.176688350841983,477.79130947189697,NA,NA
55.26813028138868,1.7539171941046927,0.053647305691663975,0.013437113492673403,0.167192099029177,0.014401990255658118,0,18.252417036126904,355.7192838777337,2,7
56.13742289604795,1.962815225051186,0.03884425279108316,0.010282077617098245,0.2069650941837836,0.010714291105087955,0,31.570553174674373,501.394299593685,0,8
59.37737954561134,3.241460148708033,0.09350170187810755,0.01540599156833716,0.21744973766629128,0.016528591778899666,0,35.76942713956274,1523.8515995011876,NA,NA
61.423715196541984,2.257124460937748,0.05553057886604012,0.012410688222942345,0.20382776667157657,0.014449278209002239,0,29.203099035735264,569.6741495644346,2,8
62.2443593590388,2.574214310475815,0.053053876952097956,0.01155454496948674,0.22998669868111737,0.012856033746395532,0,39.75780525616585,840.7150680668929,0,9
64.77632771186727,0.5641045083101272,0.05497357693804177,0.0341426990033898,0.13800487368136477,0.039360342928771816,0,1.8425329904615817,5.319405035050295,NA,NA
65.01435891674218,0.645969075973202,0.04706449366975612,0.03088088554314059,0.1476940644220417,0.033625919146035785,0,2.822150642817346,9.234109383127361,NA,NA
65.32037918004701,1.3398509975057575,0.03175457836458628,0.0121605828349154,0.19016581606697214,0.01393408672143353,0,17.995204423951993,101.6403993232816,NA,NA
65.56000640977145,1.7610080415353224,0.042090654606912546,0.012272706509659944,0.19678820381949497,0.01405218431916656,0,23.452390965540175,259.18566224386814,NA,NA
66.00859422430648,0.6152020286994903,0.036887780087398826,0.021735566854606227,0.13087893721802005,0.02227710851821311,0,3.2659018222081873,12.104729493003106,NA,NA
67.51640882238023,0.9343138495596262,0.07136786732286372,0.023735468445897287,0.12509062204441845,0.03142189451254669,0,3.8934354730931915,50.826444305268524,2,9
68.41879700716302,1.8742392485958472,0.08197847628280253,0.01755570880431251,0.14998368147650706,0.018389889601009797,0,13.639559411653948,399.0045134430911,0,10
71.76786604813293,1.9010435233245442,0.25496882751823324,0.041450532990747385,0.11698653027947863,0.04812160015900849,0,4.5117721618985485,290.9181889770625,NA,NA
73.97214843925828,1.3795480451943345,0.12930714530159948,0.03085513098816817,0.12043627826350285,0.03312699242977258,0,4.684910123180192,135.4443134603207,2,10
74.8288197331768,1.1451589975162189,0.0852332658821881,0.023949702677799348,0.12484107008561339,0.02953025944548106,0,4.897478939269827,90.13998280743908,0,11
77.63939217898061,0.7565593384313016,0.2616326693663193,0.13205458310771626,0.17157873197727458,0.17788352925116363,0,0.6963765652107694,5.432004130751011,NA,NA
77.99457836941544,0.36488694917448716,0.0023133649307407467,0.003244426872712732,0.26755621121780637,0.0039012866666120294,0,18.319880663522344,2.4047701913223136,NA,NA
78.10397930896627,0.7040818808752803,0.013291951630927015,0.007783546975651247,0.14794716373140446,0.007515946518094379,0,11.871557801540565,41.572387092171994,NA,NA
79.72267517535339,0.4114009481575486,0.002680002194400904,0.0026435145458003424,0.2503288958086013,0.004206461376358098,0,20.1022909401379,6.731397866260522,NA,NA
80.33095924272719,0.8596279412661804,0.09070073127685073,0.0330361858054018,0.11781533692029755,0.039520867346327246,0,2.593345533373228,39.57895936053683,2,11
80.9894091492669,0.6525572343160153,0.11608496629956394,0.08292217150909799,0.11836889244377076,0.049134614091479525,0,1.1676464546400132,9.789131166297011,0,12
82.89023081645755,0.3595007871257095,0.008569453456010524,0.008687603495211318,0.11268918886165068,0.007304125001943246,0,4.800612970781955,5.224233823624672,NA,NA
83.60894465355096,0.37259593762800286,0.016056834407022734,0.01416269463571125,0.11169561368917372,0.014078144598122636,0,2.752114064731588,3.1978964003064902,NA,NA
84.25517630806894,0.5044061019727103,0.07787996168774736,0.04865077747453835,0.13234417759722447,0.06428244975077714,0,1.0398843963451203,3.543067139602499,NA,NA
