parameter,mean,sd,Q16,Q50,Q84
Pn,13.252230186933721,0.12791443046631948,13.125796781580913,13.251816106224153,13.378412590208642
A1,10480.9006398463,5544.98777174252,6747.176395933027,9342.819190395034,13138.756593683702
b1,1.8566623574413081,1.2689172847341141,0.836873977000906,1.4897123105315426,2.900219432225972
A2,14389.978760606424,1283.9008573826513,13431.084741156146,14557.78342895376,15475.160886958232
b2,11.849006628486597,0.8754860166923438,11.154991971562154,11.758972338043371,12.48083400965135
A3,3280.4332574534187,374.48605235843337,2906.7593010664796,3286.0149253695267,3655.7745327972807
b3,38.98005703809219,1.1112047558591642,37.873516243243195,38.90657234700949,40.085231532536085
Pg,5119.589560368175,191.9342236158863,4938.7075830103895,5114.770345181003,5307.256154277923
numax,39.87884713827645,0.2819167893628666,39.59488766399227,39.88354049038725,40.15736726840215
sigmaEnv,6.805677523900413,0.19394495665239306,6.613959393321963,6.800030909965418,7.000639678457437
lnprob,-198832.4033094057,6.982217925051952,-198834.41567685714,-198831.8719292552,-198830.00042920513
